"Name","Price","Bénéfice"
Share-ECAQ,31.66€,12.64%
Share-IXCI,26.32€,10.64%
Share-FWBE,18.31€,7.57%
Share-ZOFA,25.32€,10.34%
Share-PLLK,19.94€,7.98%
Share-LXZU,4.24€,1.98%
Share-ANFX,38.55€,15.49%
Share-PATS,27.7€,11.19%
Share-VCXT,29.19€,11.77%
Share-NDKR,33.06€,13.57%
Share-ALIY,29.08€,11.98%
Share-JWGF,48.69€,19.57%
Share-JGTW,35.29€,14.19%
Share-FAPS,32.57€,13.05%
Share-LFXB,14.83€,5.97%
Share-DWSK,29.49€,11.8%
Share-UPCV,32.45€,12.84%
Share-XQII,13.42€,5.53%
Total bénéfice: 197.70€ Budget dépensé: 490.11€ Nombre d'action: 18
