"Name","Price","Bénéfice"
Share-KMTG,23.21€,9.27%
Share-GHIZ,28.0€,11.16%
Share-NHWA,29.18€,11.6%
Share-UEZB,24.87€,9.8%
Share-LPDM,39.35€,15.62%
Share-MTLR,16.48€,6.58%
Share-USSR,25.62€,10.13%
Share-GTQK,15.4€,6.15%
Share-FKJW,21.08€,8.38%
Share-QLMK,17.38€,6.86%
Share-WPLI,34.64€,13.82%
Share-LGWG,31.41€,12.4%
Share-ZSDE,15.11€,6.02%
Share-SKKC,24.87€,9.82%
Share-QQTU,33.19€,13.14%
Share-GIAJ,10.75€,4.28%
Share-XJMO,9.39€,3.75%
Share-LRBZ,32.9€,13.14%
Share-KZBL,28.99€,11.34%
Share-EMOV,8.89€,3.51%
Share-IFCP,29.23€,11.65%
Total bénéfice: 198.42€,Budget dépensé: 499.94€,Nombre d'action: 21
